company_name|symbol|sector_name|subsector_name|listing_date
DoubleDragon Properties Corp. Preferred Shares|DDPR|PROPERTY|PROPERTY|July 26, 2016
Del Monte Pacific Limited|DELM|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|June 10, 2013
DFNN, Inc.|DFNN|SERVICES|INFORMATION TECHNOLOGY|October 30, 2000
Dominion Holdings, Inc.|DHI|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|January 06, 1997
DITO CME Holdings Corp.|DITO|SERVICES|INFORMATION TECHNOLOGY|October 01, 1975
Dizon Copper-Silver Mines, Inc.|DIZ|MINING & OIL|MINING|February 10, 1988
DMCI Holdings, Inc.|DMC|HOLDING FIRMS|HOLDING FIRMS|December 18, 1995
DMCI Holdings, Inc. - Cumulative Convertible Preferred|DMCP|HOLDING FIRMS|HOLDING FIRMS|April 07, 1997
Del Monte Pacific Limited U.S. Dollar-Denominated Series A-1 Preference Shares|DMPA1|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|April 07, 2017
Del Monte Pacific Limited U.S. Dollar-Denominated Series A-2 Preference Shares|DMPA2|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|December 15, 2017
D.M. Wenceslao & Associates, Incorporated|DMW|PROPERTY|PROPERTY|June 29, 2018
Philab Holdings Corp.|DNA|SME|SME|September 03, 2009
D&L Industries, Inc.|DNL|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|December 12, 2012
PLDT INC. -USD|DTEL|SERVICES|TELECOMMUNICATIONS|July 16, 2003
Discovery World Corporation|DWC|SERVICES|HOTEL & LEISURE|November 21, 2013
Easycall Communications Philippines, Inc.|ECP|SERVICES|OTHER SERVICES|May 05, 1992
East Coast Vulcan Corporation|ECVC|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|August 31, 1970
EEI Corporation|EEI|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|July 21, 1975
EEI Corporation Series A Preferred Shares|EEIPA|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|December 23, 2021
EEI Corporation Series B Preferred Shares|EEIPB|INDUSTRIAL|CONSTRUCTION, INFR. & ALLIED|December 23, 2021
IP E-Game Ventures, Inc.|EG|SERVICES|CASINOS & GAMING|February 17, 2010
Empire East Land Holdings, Inc.|ELI|PROPERTY|PROPERTY|June 28, 1996
Emperador Inc.|EMI|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|December 19, 2011
ENEX Energy Corp.|ENEX|MINING & OIL|OIL|August 28, 2014
Euro-Med Laboratories Phil., Inc.|EURO|INDUSTRIAL|CHEMICALS|July 02, 1998
Ever-Gotesco Resources and Holdings, Inc.|EVER|PROPERTY|PROPERTY|September 16, 1996
East West Banking Corporation|EW|FINANCIALS|BANKS|May 07, 2012
First Abacus Financial Holdings Corp.|FAF|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|November 17, 1994
San Miguel Food and Beverage, Inc.|FB|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|October 28, 1971
San Miguel Food and Beverage, Inc. - Preferred|FBP|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|March 03, 2011
San Miguel Food and Beverage, Inc. Perpetual Preferred Shares Series ``2``|FBP2|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|March 12, 2015
Figaro Coffee Group, Inc.|FCG|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|January 24, 2022
Filinvest Development Corporation|FDC|HOLDING FIRMS|HOLDING FIRMS|December 22, 1982
Ferronoux Holdings, Inc.|FERRO|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|August 13, 2013
Far Eastern University, Incorporated|FEU|SERVICES|EDUCATION|July 11, 1986
Filipino Fund, Inc.|FFI|FINANCIALS|OTHER FINANCIAL INSTITUTIONS|September 27, 1995
First Gen Corporation|FGEN|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|February 10, 2006
First Gen Corporation Series ``G`` Preferred Shares|FGENG|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|May 17, 2012
Filinvest REIT Corp.|FILRT|PROPERTY|PROPERTY|August 12, 2021
F&J Prince Holdings Corporation ``A``|FJP|HOLDING FIRMS|HOLDING FIRMS|December 08, 1982
F&J Prince Holdings Corporation ``B``|FJPB|HOLDING FIRMS|HOLDING FIRMS|December 08, 1982
Filinvest Land, Inc.|FLI|PROPERTY|PROPERTY|October 25, 1993
First Metro Philippine Equity Exchange Traded Fund, Inc.|FMETF|ETF|ETF-EQUITY|December 02, 2013
Global Ferronickel Holdings, Inc.|FNI|MINING & OIL|MINING|December 14, 1994
Alliance Select Foods International, Inc.|FOOD|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|November 08, 2006
First Philippine Holdings Corporation|FPH|INDUSTRIAL|ELEC., ENERGY, POWER & WATER|May 23, 1963
Forum Pacific, Inc.|FPI|HOLDING FIRMS|HOLDING FIRMS|December 19, 1994
Fruitas Holdings, Inc.|FRUIT|INDUSTRIAL|FOOD, BEVERAGE & TOBACCO|November 29, 2019
Filsyn Corporation ``A``|FYN|INDUSTRIAL|OTHER INDUSTRIALS|June 03, 1975
Filsyn Corporation ``B``|FYNB|INDUSTRIAL|OTHER INDUSTRIALS|June 03, 1975
GEOGRACE Resources Philippines, Inc.|GEO|MINING & OIL|MINING|February 07, 1972
Global-Estate Resorts, Inc.|GERI|PROPERTY|PROPERTY|November 23, 1995
Globe Telecom, Inc.|GLO|SERVICES|TELECOMMUNICATIONS|August 11, 1975
Globe Telecom, Inc. Series A Voting Perpetual Preferred Shares|GLOPA|SERVICES|TELECOMMUNICATIONS|June 29, 2001
Globe Telecom, Inc. Series A Non-Voting Perpetual Preferred Shares|GLOPP|SERVICES|TELECOMMUNICATIONS|August 22, 2014
GMA Network, Inc.|GMA7|SERVICES|MEDIA|July 30, 2007
GMA Holdings, Inc. - Philippine Deposit Receipts|GMAP|SERVICES|MEDIA|July 30, 2007
